State,State_code
Maharashtra,MH
Tamil Nadu,TN
Delhi,DL
Kerala,KL
Telangana,TG
Uttar Pradesh,UP
Rajasthan,RJ
Andhra Pradesh,AP
Madhya Pradesh,MP
Karnataka,KA
Gujarat,GJ
Jammu and Kashmir,JK
Haryana,HR
Punjab,PB
West Bengal,WB
Bihar,BR
Assam,AS
Uttarakhand,UT
Odisha,OR
Chandigarh,CH
Ladakh,LA
Andaman and Nicobar Islands,AN
Chhattisgarh,CT
Goa,GA
Himachal Pradesh,HP
Puducherry,PY
Jharkhand,JH
Manipur,MN
Mizoram,MZ
Arunachal Pradesh,AR
Dadra and Nagar Haveli,DN
Daman and Diu,DD
Lakshadweep,LD
Meghalaya,ML
Nagaland,NL
Sikkim,SK
Tripura,TR
